file,file_in_repo,repo,repo_version,name,parent_function
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tuple,size
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,max,size
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,np.prod,size
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,t.shape.as_list,shape_as_list
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.shape,tensor_shapes_match
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.shape,tensor_shapes_match
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_shape_function,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_shape_function,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,non_differentiable.register_non_differentiable_functions,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_init_grad,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_init_grad,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_all_add_grad,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_all_shape_checker,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,utils.create_unbroadcast_axis,unbroadcast_tfe_to
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,shape_as_list,unbroadcast_tfe_to
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.reshape,unbroadcast_tfe_to
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.reduce_sum,unbroadcast_tfe_to
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,unbroadcast_tfe_to,unbroadcast_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,shape_as_list,unbroadcast_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_unbroadcast,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_unbroadcast,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,range,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,len,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,isinstance,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,sorted,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.expand_dims,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,np.array,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,np.array,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,shape_as_list,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.tile,unreduce_tensor
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_unreduce,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,register_unreduce,
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.matmul,matmul_adjoint_x
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.matmul,matmul_adjoint_x
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.matmul,matmul_adjoint_x
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.matmul,matmul_adjoint_x
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.matmul,matmul_adjoint_y
tf_extensions.py,tangent/tf_extensions.py,brombaut/tangent,0.0.0,tf.matmul,matmul_adjoint_y
