file,repo,repo_version,name,asname,module
head_test.py,tensorflow/ranking,v0.2.3,absolute_import,,__future__
head_test.py,tensorflow/ranking,v0.2.3,division,,__future__
head_test.py,tensorflow/ranking,v0.2.3,print_function,,__future__
head_test.py,tensorflow/ranking,v0.2.3,tensorflow,tf,
head_test.py,tensorflow/ranking,v0.2.3,head,ranking_head,tensorflow_ranking.python
head_test.py,tensorflow/ranking,v0.2.3,metrics,metrics_lib,tensorflow_ranking.python
metrics.py,tensorflow/ranking,v0.3.2,absolute_import,,__future__
metrics.py,tensorflow/ranking,v0.3.2,division,,__future__
metrics.py,tensorflow/ranking,v0.3.2,print_function,,__future__
metrics.py,tensorflow/ranking,v0.3.2,tensorflow.compat.v2,tf,
metrics.py,tensorflow/ranking,v0.3.2,metrics_impl,,tensorflow_ranking.python
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,os,,
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,flags,,absl
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,flagsaver,,absl.testing
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,parameterized,,absl.testing
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,tensorflow,tf,
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,text_format,,google.protobuf
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,keras_m2e_gam_tfrecord,,tensorflow_ranking.examples.keras
keras_m2e_gam_tfrecord_test.py,tensorflow/ranking,v0.3.2,input_pb2,,tensorflow_serving.apis
data.py,tensorflow/ranking,v0.1.6,absolute_import,,__future__
data.py,tensorflow/ranking,v0.1.6,division,,__future__
data.py,tensorflow/ranking,v0.1.6,print_function,,__future__
data.py,tensorflow/ranking,v0.1.6,abc,,
data.py,tensorflow/ranking,v0.1.6,functools,,
data.py,tensorflow/ranking,v0.1.6,numpy,np,
data.py,tensorflow/ranking,v0.1.6,six,,
data.py,tensorflow/ranking,v0.1.6,tensorflow,tf,
data.py,tensorflow/ranking,v0.1.6,descriptor_pb2,pb,google.protobuf
data.py,tensorflow/ranking,v0.1.6,utils,,tensorflow_ranking.python
functions.py,google/tangent,v0.1.7,division,,__future__
functions.py,google/tangent,v0.1.7,numpy,np,
functions.py,google/tangent,v0.1.7,tangent,,
functions.py,google/tangent,v0.1.7,insert_grad_of,,tangent
functions.py,google/tangent,v0.1.7,tensorflow,tf,
tf_extensions.py,google/tangent,v0.1.7,absolute_import,,__future__
tf_extensions.py,google/tangent,v0.1.7,Number,,numbers
tf_extensions.py,google/tangent,v0.1.7,numpy,np,
tf_extensions.py,google/tangent,v0.1.7,grads,,tangent
tf_extensions.py,google/tangent,v0.1.7,non_differentiable,,tangent
tf_extensions.py,google/tangent,v0.1.7,tangents,,tangent
tf_extensions.py,google/tangent,v0.1.7,utils,,tangent
tf_extensions.py,google/tangent,v0.1.7,adjoint,,tangent.grads
tf_extensions.py,google/tangent,v0.1.7,tangent_,,tangent.tangents
tf_extensions.py,google/tangent,v0.1.7,array_shapes_match,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,register_all_add_grad,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,register_all_shape_checker,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,register_init_grad,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,register_shape_function,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,register_unbroadcast,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,register_unreduce,,tangent.utils
tf_extensions.py,google/tangent,v0.1.7,tensorflow,tf,
tf_extensions.py,google/tangent,v0.1.7,ops,,tensorflow.python.framework
tf_extensions.py,google/tangent,v0.1.7,resource_variable_ops,,tensorflow.python.ops
estimator.py,tensorflow/ranking,v0.3.1,tensorflow,tf,
