file,file_in_repo,repo,repo_version,name,asname,module
functions.py,tests/functions.py,google/tangent,v0.1.7,division,,__future__
functions.py,tests/functions.py,google/tangent,v0.1.7,numpy,np,
functions.py,tests/functions.py,google/tangent,v0.1.7,tangent,,
functions.py,tests/functions.py,google/tangent,v0.1.7,insert_grad_of,,tangent
functions.py,tests/functions.py,google/tangent,v0.1.7,tensorflow,tf,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,absolute_import,,__future__
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,Number,,numbers
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,numpy,np,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,grads,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,non_differentiable,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,tangents,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,utils,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,adjoint,,tangent.grads
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,tangent_,,tangent.tangents
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,array_shapes_match,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,register_all_add_grad,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,register_all_shape_checker,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,register_init_grad,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,register_shape_function,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,register_unbroadcast,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,register_unreduce,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,tensorflow,tf,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,ops,,tensorflow.python.framework
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.7,resource_variable_ops,,tensorflow.python.ops
tracing.py,tangent/tracing.py,google/tangent,v0.1.6,make_vjp,,tensorflow.python.eager.backprop
tracing.py,tangent/tracing.py,google/tangent,v0.1.9,make_vjp,,tensorflow.python.eager.backprop
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.4,hessian_vector_product,,autograd
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.4,autograd.numpy,np,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.4,pytest,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.4,tangent,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.4,tfe_utils,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.4,tensorflow,tf,
functions.py,tests/functions.py,google/tangent,v0.1.6,division,,__future__
functions.py,tests/functions.py,google/tangent,v0.1.6,numpy,np,
functions.py,tests/functions.py,google/tangent,v0.1.6,tangent,,
functions.py,tests/functions.py,google/tangent,v0.1.6,insert_grad_of,,tangent
functions.py,tests/functions.py,google/tangent,v0.1.6,tensorflow,tf,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.9,hessian_vector_product,,autograd
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.9,autograd.numpy,np,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.9,pytest,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.9,tangent,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.9,tfe_utils,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.9,tensorflow,tf,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.9,numpy,np,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.9,autodiff,,tangent.grad_util
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.9,jvp,,tangent.grad_util
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.9,utils,,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.9,tensorflow,tf,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.9,tfe,,tensorflow.contrib.eager.python
functions.py,tests/functions.py,google/tangent,v0.1.4,division,,__future__
functions.py,tests/functions.py,google/tangent,v0.1.4,numpy,np,
functions.py,tests/functions.py,google/tangent,v0.1.4,tangent,,
functions.py,tests/functions.py,google/tangent,v0.1.4,insert_grad_of,,tangent
functions.py,tests/functions.py,google/tangent,v0.1.4,tensorflow,tf,
tracing.py,tangent/tracing.py,google/tangent,v0.1.7,make_vjp,,tensorflow.python.eager.backprop
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,absolute_import,,__future__
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,Number,,numbers
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,numpy,np,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,grads,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,non_differentiable,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,tangents,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,utils,,tangent
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,adjoint,,tangent.grads
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,tangent_,,tangent.tangents
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,array_shapes_match,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,register_all_add_grad,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,register_all_shape_checker,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,register_init_grad,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,register_shape_function,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,register_unbroadcast,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,register_unreduce,,tangent.utils
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,tensorflow,tf,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,ops,,tensorflow.python.framework
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.9,resource_variable_ops,,tensorflow.python.ops
tracing.py,tangent/tracing.py,google/tangent,v0.1.8,make_vjp,,tensorflow.python.eager.backprop
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.8,numpy,np,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.8,autodiff,,tangent.grad_util
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.8,jvp,,tangent.grad_util
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.8,utils,,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.8,tensorflow,tf,
tfe_utils.py,tests/tfe_utils.py,google/tangent,v0.1.8,tfe,,tensorflow.contrib.eager.python
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.8,hessian_vector_product,,autograd
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.8,autograd.numpy,np,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.8,pytest,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.8,tangent,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.8,tfe_utils,,
test_hessian_vector_products.py,tests/test_hessian_vector_products.py,google/tangent,v0.1.8,tensorflow,tf,
functions.py,tests/functions.py,google/tangent,v0.1.8,division,,__future__
functions.py,tests/functions.py,google/tangent,v0.1.8,numpy,np,
functions.py,tests/functions.py,google/tangent,v0.1.8,tangent,,
functions.py,tests/functions.py,google/tangent,v0.1.8,insert_grad_of,,tangent
functions.py,tests/functions.py,google/tangent,v0.1.8,tensorflow,tf,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,absolute_import,,__future__
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,numpy,np,
tf_extensions.py,tangent/tf_extensions.py,google/tangent,v0.1.6,grads,,tangent
