repo,version,release_number,year,month,day,time
google/tangent,v0.1.4,0,2017,Nov,7,15:50:11
google/tangent,v0.1.6,1,2017,Nov,8,19:25:45
google/tangent,v0.1.7,2,2017,Nov,29,16:13:13
google/tangent,v0.1.8,3,2017,Nov,29,16:17:24
google/tangent,v0.1.9,4,2017,Dec,11,11:43:23
tensorflow/ranking,v0.1.3,0,2019,Jun,20,16:56:12
tensorflow/ranking,v0.1.4,1,2019,Sep,4,21:02:59
tensorflow/ranking,v0.1.5,2,2019,Sep,24,15:06:46
tensorflow/ranking,v0.1.6,3,2019,Oct,21,22:07:09
tensorflow/ranking,v0.2.0,4,2019,Oct,22,11:21:20
tensorflow/ranking,v0.2.1,5,2019,Dec,18,11:56:22
tensorflow/ranking,v0.2.2,6,2020,Jan,16,17:12:06
tensorflow/ranking,v0.2.3,7,2020,Mar,6,00:15:52
tensorflow/ranking,v0.3.0,8,2020,Mar,23,17:25:19
tensorflow/ranking,v0.3.1,9,2020,Jun,1,14:57:52
tensorflow/ranking,v0.3.2,10,2020,Aug,19,13:44:22
